org_short_name,org_full_name,crafd_connection,org_logo_white,logo_path
 AAN,Afghanistan Analysts Network ,Collaborating Partner,,
 AWLN,African Women Leaders Network,Implementing Partner,,
 SRMO,Safety and Risk Mitigation Organization ,Collaborating Partner,,
510,The Netherlands Red Cross‘ data and digital unit 510,Implementing Partner,,
AAI,ActionAid International [FHN Secretariat],Administrative Partner,,
ACAPS,ACAPS,Collaborating Partner,,
ACHR,Access Center for Human Rights (ACHR),Collaborating Partner,,
ACLED,Armed Conflict Location & Event Data Project (ACLED),"Lead Project Partner, Collaborating Partner",ACLED Vert- Logo (White).png (https://v5.airtableusercontent.com/v3/u/50/50/1771444800000/T-bd6x6_0ERhsYHBxzByKg/89n9wqm1aLwUI849N9shTjM7yAMFqA9k0oHhW5r9REpPzTuqM_LZ0LSjs-_Dx7XTFVVE6yOjf65iNPboma06kEjv8vPOeYwVSQYATXMPMIqW78eqDc64YiTNPZsahVdF6oOkAUn3ASJv5ll6MoYQQJ7IRRwclyvshJKdfS__AE0/p__wA5xSZ9Jv-Jcz5kbtm16FuImIe328wiMYoM-YqmM),/logos/acled.png
ACMS,Xenowatch / African Centre for Migration & Society ,Collaborating Partner,,
ACTED,Agency for Technical Cooperation and Development,Collaborating Partner,,
ADHRB,Americans for Democracy & Human Rights in Bahrain  ,Collaborating Partner,,
AFJC,Association des Femmes Juristes de Centrafrique ,Implementing Partner,,
AFPA,L'Alliance des femmes en Haiti,Implementing Partner,,
AISHA,Association for Women and Child Protection ,Collaborating Partner,,
APW,Afghan Peace Watch,Implementing Partner,,
ASSN,African Security Sector Network ,Collaborating Partner,,
AWAFY ,Awafy Sudanese Organization  ,Collaborating Partner,,
AWSD,Aid Worker Security Database  ,Collaborating Partner,,
Airwars  ,Airwars  ,Collaborating Partner,,
Armillary Services,Armillary Services,Implementing Partner,,
Avviso Pubblico,Local Municipalities and Regions Against Mafia and Corruption,Collaborating Partner,,
BDRCS,Bangladesh Red Crescent Society,Implementing Partner,,
CARDH,Centre d’analyse et de recherche en droits de l’homme,Implementing Partner,,
CARR,Centre for Analysis of the Radical Right,Collaborating Partner,,
CDD,Centre for Democracy and Development,Collaborating Partner,,
CEWARN,Conflict Early Warning and Response Mechanism  ,Collaborating Partner,,
CIAO,Columbia International Affairs Online,Collaborating Partner,,
CIEPD,Community Initiative for Enhanced Peace and Development / Conflict Watch Center  ,Collaborating Partner,,
CIESIN,The Center for Integrated Earth System Information ,Implementing Partner,,
CIVIC,Center for Civilians in Conflict ,Collaborating Partner,,
COCAP,Collective Campaign for Peace   ,Collaborating Partner,,
COES,Center for Social Conflict and Cohesion Studies  ,Collaborating Partner,,
COES,Centre for Social Conflict and Cohesion Studies (COES) | Chile ,Collaborating Partner,,
CRAF'd,Complex Risk Analytics Fund,CRAF'd,,
CSC,Center for Social Change ,Collaborating Partner,,
CVG,Cure Violence Global,Collaborating Partner,,
Cambridge Zero,Cambridge Zero,Implementing Partner,,
CeSSRA,Center for Social Sciences Research and Action  ,Collaborating Partner,,
Clingendael,Clingendael,Collaborating Partner,,
DA,Dalberg Associates,Implementing Partner,,
DCO,United Nations Development Coordination Office  (UNDCO),MoU Signatory/UN Partner,,
DFS,Data Friendly Space,Implementing Partner,,
DPO,Department of Peace Operations (DPO),MoU Signatory/UN Partner,,
DPPA,United Nations Department of Political and Peacebuilding Affairs (UNDPPA),"MoU Signatory/UN Partner, Lead Project Partner",,
DSW,Deep South Watch  ,Collaborating Partner,,
Dallaire Institute,Dallaire Institute,Collaborating Partner,,
Data42,Data42,Collaborating Partner,,
DevTransform,Development Transformations,Implementing Partner,,
Dialogos  ,Dialogos  ,Collaborating Partner,,
EAI,Equal Access International (EAI) | Ivory Coast ,Collaborating Partner,,
EAI,Equal Access International  ,Collaborating Partner,,
EOD,Eyzidi Organization for Documentation,Collaborating Partner,,
ERI,Emergent Risk International,Collaborating Partner,,
Element 84,Element 84,Implementing Partner,,
Every Town for Gun Safety  ,Every Town for Gun Safety  ,Collaborating Partner,,
FAO,Food and Agriculture Organization of the United Nations (FAO),"MoU Signatory/UN Partner, Collaborating Partner",,
FHN_AAI,Feminist Humanitarian Network (FHN)_AAI,Lead Project Partner,,
FLD,Front Line Defenders  ,Collaborating Partner,,
FMA,Foundation for Media Alternatives  ,Collaborating Partner,,
FORUM-ASIA,Asian Forum for Human Rights and Development   ,Collaborating Partner,,
FPB,Forum de Paix de Beni  ,Collaborating Partner,,
FPB,Forum de Paix de Béni (FPB) | Democratic Republic of the Congo (DRC) ,Collaborating Partner,,
FWM,Insights – Framework Mechanism (FWM – formerly Data for Change)  ,Collaborating Partner,,
Fogo Cruzado  ,Fogo Cruzado  ,Collaborating Partner,,
Fundaredes  ,Fundaredes  ,Collaborating Partner,,
GI-TOC,Global Initiative Against Transnational Organized Crime,Collaborating Partner,,
Genocide Watch,Genocide Watch,Collaborating Partner,,
GiE,Gender in Emergencies Group,Implementing Partner,,
Global Witness  ,Global Witness  ,Collaborating Partner,,
HORN Institute,HORN International Institute for Strategic Studies  ,Collaborating Partner,,
HRC-UNTL,Global Campus of Human Rights – Human Rights Centre of the National University of Timor-Leste  ,Collaborating Partner,,
HRNK,Committee for Human Rights in North Korea  ,Collaborating Partner,,
IB,Idea Bureau,Implementing Partner,,
ICG,International Crisis Group (ICG),Lead Project Partner,,
ICPAC_IGAD,Intergovernmental Authority on Development - IGAD Climate Prediction and Applications Centre (ICPAC),Lead Project Partner,,
IDMC,Internal Displacement Monitoring Centre (IDMC),Lead Project Partner,,
IEP,Institute for Economics and Peace,Collaborating Partner,,
IFRC,International Federation of Red Cross and Red Crescent Societies (IFRC),"Lead Project Partner, Collaborating Partner",,
IISS,International Institute for Strategic Studies,Collaborating Partner,,
INDEPAZ,Instituto de Estudios para el Desarrollo y la Paz ,Collaborating Partner,,
IOM,International Organization for Migration (IOM),"MoU Signatory/UN Partner, Lead Project Partner, Collaborating Partner",,
IRC,International Rescue Committee,Collaborating Partner,,
ISS,Institute for Security Studies,Collaborating Partner,,
ITU,International Telecommunication Union (ITU),MoU Signatory/UN Partner,,
InSight Crime,InSight Crime,Collaborating Partner,,
Insecurity Insight  ,Insecurity Insight  ,Collaborating Partner,,
Irdeto  ,Irdeto  ,Collaborating Partner,,
KHRN,Kurdistan Human Rights Network ,Collaborating Partner,,
KoboToolbox,KoboToolbox,Implementing Partner,,
Korbel,"Josef Korbel School, University of Denver (Korbel)","Lead Project Partner, Implementing Partner",,
LSM,The Libya Security Monitor (LSM)  ,Implementing Partner,,
Liveuamap  ,Liveuamap  ,Collaborating Partner,,
MPM,Myanmar Peace Monitor ,Collaborating Partner,,
MPTFO,Multi-Partner Trust Fund Office (MPTFO),Administrative Partner,,
MVRP,Mexico Violence Resource Project   ,Collaborating Partner,,
Mapbox,Mapbox,Collaborating Partner,,
Mediacoop,Mediacoop (Formerly MediaFax),Collaborating Partner,,
Menastream,Menastream,Collaborating Partner,,
Mercy Corps,Mercy Corps,Collaborating Partner,,
Mi Convive ,Caracas Mi Convive & Monitor de Víctimas  ,Collaborating Partner,,
MilitiaWatch  ,MilitiaWatch  ,Collaborating Partner,,
NCRI,Network Contagion Research Institute,Collaborating Partner,,
NRC,Norwegian Refugee Council (NRC)  ,"Lead Project Partner, Implementing Partner, Administrative Partner",,
NRCS,Nepal Red Cross Society,Implementing Partner,,
NU,Northwestern University,Implementing Partner,,
NWC,New Women Connectors,Implementing Partner,,
OCHA,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),"MoU Signatory/UN Partner, Collaborating Partner",,
OCHA (Colombia),UN Office for the Coordination of Humanitarian Affairs (OCHA) / Colombia  ,Collaborating Partner,,
OFCA,Organisation des Femmes Centrafricaine,Implementing Partner,,
OHCHR,Office of the United Nations High Commissioner for Human Rights (OHCHR),"MoU Signatory/UN Partner, Lead Project Partner",,
ORDEDH,Ordres des Défenseurs des Droits Humains ,Implementing Partner,,
ORF,Omega Research Foundation,Collaborating Partner,,
OSCAA,Oxus Society for Central Asian Affairs ,Collaborating Partner,,
OSF,Open Society Foundations,Complementary Donor,,
OVPE,Observatory of Political and Electoral Violence,Collaborating Partner,,
PAHO,Pan American Health Organization (PAHO),MoU Signatory/UN Partner,,
PDC,Pacific Disaster Centre,Collaborating Partner,,
PICSS,Pakistan Institute for Conflict and Security Studies ,Collaborating Partner,,
PJS ,Palestinian Journalists Syndicate ,Collaborating Partner,,
PRA,Political Research Associates PRA ,Collaborating Partner,,
PRIO,Peace Research Institute Oslo (PRIO),"Lead Project Partner, Administrative Partner",,
PSCCW,Psychosocial Counselling Center for Women,Collaborating Partner,,
Protect Defenders,ProtectDefenders.eu  ,Collaborating Partner,,
RCCC,Red Cross Red Crescent Climate Centre (RCCC),Lead Project Partner,,
REGAH,Réseau pour l'Égalité du Genres dans l'Action Humanitaire en Haïti (REGAH),Implementing Partner,,
ROC,Reach Out Cameroon  ,Collaborating Partner,,
RiskPal,RiskPal,Collaborating Partner,,
SAALT,South Asian American Leading Together  ,Collaborating Partner,,
SAR,Scholars At Risk SAR,Collaborating Partner,,
SFCG,Search for Common Ground,Collaborating Partner,,
SNHR,Syrian Network for Human Rights (SNHR)  ,Collaborating Partner,,
Sana’a Center,Sanáa Center for Strategic Studies  ,Collaborating Partner,,
Save the Children,Save the Children,Collaborating Partner,,
Shahit.biz,Xinjiang Victims Database ,Collaborating Partner,,
Sismología Social,Sismología Social Nicaragua  ,Collaborating Partner,,
TCHRD,Tibetan Centre for Human Rights and Democracy  ,Collaborating Partner,,
Tableau Foundation,Tableau Foundation,Complementary Donor,,
The Carter Center  ,The Carter Center  ,Collaborating Partner,,
The Sentinel Project  ,The Sentinel Project  ,Collaborating Partner,,
Togglecorp,Togglecorp,Implementing Partner,,
UC IRVINE,University of California - Irvine,Implementing Partner,,
UN HABITAT,United Nations Human Settlements Programme (UN-Habitat)  ,"Collaborating Partner, Need to follow up for MOU signing",,
UN WOMEN,United Nations Entity for Gender Equality and the Empowerment of Women (UN WOMEN),"MoU Signatory/UN Partner, Lead Project Partner",,
UNDP,United Nations Development Programme (UNDP),"MoU Signatory/UN Partner, Lead Project Partner",,
UNDRR,United Nations Office for Disaster Risk Reduction (UNDRR),MoU Signatory/UN Partner,,
UNDSS,United Nations Department for Safety and Security (UNDSS),Need to follow up for MOU signing,,
UNESCO,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",MoU Signatory/UN Partner,,
UNFPA,United Nations Population Fund (UNFPA),MoU Signatory/UN Partner,,
UNHCR,United Nations High Commissioner for Refugees (UNHCR),"MoU Signatory/UN Partner, Lead Project Partner, Collaborating Partner",,
UNIANDES,Universidad de los Andes (UNIANDES) – CEDE Data Center  ,Collaborating Partner,,
UNICC,United Nations International Computing Centre,Implementing Partner,,
UNICEF,United Nations Children's Fund (UNICEF),"MoU Signatory/UN Partner, Collaborating Partner",,
UNODC,United Nations Office on Drugs and Crime (UNODC),MoU Signatory/UN Partner,,
UNOPS,United Nations Office for Project Services  (UNOPS),MoU Signatory/UN Partner,,
UNRISD,United Nations Research Institute for Social Development (UNRISD),MoU Signatory/UN Partner,,
UNU,United Nations University (UNU),MoU Signatory/UN Partner,,
UPPSALA UNIVERSITY,Uppsala University,Implementing Partner,,
VIA,VALERIAN IT AB (IT consultant),Implementing Partner,,
W.M. Consulting  ,W.M. Consulting  ,Collaborating Partner,,
WANEP-CI,West Africa Network for Peacebuilding Côte d’Ivoire ,Collaborating Partner,,
WANEP-SL,West Africa Network for Peacebuilding Sierra Leone   ,Collaborating Partner,,
WCLAC,Women’s Centre for Legal Aid and Counselling,Collaborating Partner,,
WFP,World Food Programme (WFP),"MoU Signatory/UN Partner, Collaborating Partner",,
WHO,World Health Organization,Collaborating Partner,,
WorldPop,WorldPop,"Implementing Partner, Collaborating Partner",,
YDP,Yemen Data Project,Collaborating Partner,,
ZPP,Zimbabwe Peace Project  ,Collaborating Partner,,
Zitamar News  ,Zitamar News  ,Implementing Partner,,
iMMAP Inc.,Information Management and Mine Action Programs (iMAPP),Implementing Partner,,
,"Ridgeway Information Ltd.,",Implementing Partner,,
,Timor-Leste Red Cross Society,Implementing Partner,,
,Anonymous Partner 1 - Africa,Collaborating Partner,,
,Anonymous Partner 2 - Europe,Collaborating Partner,,
,Various suppliers,Implementing Partner,,
